Total Analyzed: 520
----------------------------------------------------------------------------------------------------
Rank | Name            | Code     | Score  | Prof  | Stab  | Cap   | Imp   | Acc  
177  | LF              | 093050   |   66.2 |   0.1 |   0.3 |  -0.1 |  -0.2 |  -0.1
178  | DN오토모티브         | 007340   |   66.0 |   0.2 |   0.3 |  -0.3 |  -0.1 |  -0.1
179  | 현대그린푸드          | 453340   |   65.8 |  -0.0 |   0.2 |  -0.0 |  -0.1 |   0.1
180  | SK가스            | 018670   |   65.6 |  -0.3 |   0.8 |  -0.3 |   0.0 |   0.0
181  | 티에프이            | 425420   |   65.4 |   0.3 |  -0.4 |   0.1 |   0.4 |  -0.5
182  | 보령              | 003850   |   65.2 |   0.0 |   0.3 |  -0.0 |  -0.1 |  -0.1
183  | 유니드             | 014830   |   65.0 |  -0.2 |   0.3 |   0.1 |  -0.1 |   0.1
184  | 풍산홀딩스           | 005810   |   64.8 |   0.1 |   0.1 |   0.1 |  -0.2 |  -0.4
185  | 현대퓨처넷           | 126560   |   64.6 |  -0.5 |   0.1 |   0.9 |  -0.0 |   0.1
186  | YG PLUS         | 037270   |   64.4 |   0.1 |  -0.5 |  -0.0 |   1.7 |  -1.3
187  | 동양생명            | 082640   |   64.2 |  -0.1 |  -0.5 |   1.2 |  -0.2 |   0.1
188  | 한국타이어앤테크놀로지     | 161390   |   64.0 |  -0.1 |   0.2 |  -0.2 |   0.3 |   0.0
189  | 파라다이스           | 034230   |   63.8 |  -0.0 |   0.4 |  -0.2 |  -0.1 |   0.0
190  | 한국콜마            | 161890   |   63.7 |   0.0 |   0.4 |  -0.3 |  -0.1 |  -0.0
191  | 세진중공업           | 075580   |   63.5 |   0.4 |  -0.1 |  -0.3 |   0.2 |  -0.2
192  | 종근당홀딩스          | 001630   |   63.3 |   0.0 |   0.3 |  -0.2 |  -0.1 |   0.0
193  | 한국단자            | 025540   |   63.1 |   0.0 |   0.1 |   0.1 |  -0.2 |  -0.1
194  | 동진쎄미켐           | 005290   |   62.9 |   0.1 |   0.2 |  -0.1 |  -0.1 |  -0.2
195  | LX세미콘           | 108320   |   62.7 |   0.0 |  -0.0 |   0.2 |  -0.2 |   0.0
196  | BGF             | 027410   |   62.5 |  -0.1 |   0.2 |   0.3 |  -0.1 |  -0.2
197  | 한섬              | 020000   |   62.3 |  -0.0 |   0.1 |   0.2 |  -0.2 |  -0.0
198  | 농심              | 004370   |   62.1 |  -0.2 |   0.3 |   0.1 |  -0.1 |  -0.1
199  | 웹젠              | 069080   |   61.9 |   0.0 |  -0.2 |   0.6 |  -0.3 |  -0.1
